8801700405162,0101,1700407999,20
8801700405163,1289,1700408000,22
8801700405164,9303,1700408001,22
8801700405165,6272,1700408002,24
8801700405166,4425,1700408003,21
8801700405168,1380,1700408004,26
8801700405169,7765,1700408005,20
8801700405170,1423,1700408006,23
8801700405171,2100,1700408007,20
8801700405172,4015,1700408008,21
8801700405173,1993,1700408009,23
8801700405174,0431,1700408010,27
8801700405175,3849,1700408011,23
8801700405176,2773,1700408012,27
8801700405177,8809,1700408013,21
8801700405178,0847,1700408014,23
8801700405179,6545,1700408015,21
8801700405180,4068,1700408016,25
8801700405181,6100,1700408017,22
8801700405182,9929,1700408018,27
8801700405183,0958,1700408019,21
8801700405185,3290,1700408020,25
8801700405186,3347,1700408021,23
8801700405188,0655,1700408022,21
8801700405189,0422,1700408023,23
8801700405190,7434,1700408024,20
8801700405191,0430,1700408025,21
8801700405192,7348,1700408026,20
8801700405193,9709,1700408027,21
8801700405194,1207,1700408028,20
8801700405195,8888,1700408029,23
8801700405196,1843,1700408030,23
8801700405197,4823,1700408031,26
8801700405198,0869,1700408032,21
8801700405199,4767,1700408033,21
8801700405200,6814,1700408034,24
8801700405201,3568,1700408035,23
8801700405202,3789,1700408036,25
8801700405203,0515,1700408037,23
8801700405204,1550,1700408038,22
8801700405205,7716,1700408039,25
8801700405206,4681,1700408040,23
8801700405208,5925,1700408041,22
8801700405209,5596,1700408042,25
8801700405210,2291,1700408043,26
8801700405211,2107,1700408044,25
8801700405212,9986,1700408045,25
8801700405213,0596,1700408046,27
8801700405214,7943,1700408047,27
8801700405215,2528,1700408048,24
8801700405216,7487,1700408049,26
8801700405218,6860,1700408050,23
8801700405220,1453,1700408051,22
8801700405221,1932,1700408052,26
8801700405222,2858,1700408053,23
8801700405223,7765,1700408054,23
8801700405224,7087,1700408055,27
8801700405225,6710,1700408056,26
8801700405226,4169,1700408057,26
8801700405227,7595,1700408058,22
8801700405228,0528,1700408059,20
8801700405229,8354,1700408060,23
8801700405230,3155,1700408061,21
8801700405231,6083,1700408062,20
8801700405232,3081,1700408063,21
8801700405233,9581,1700408064,23
8801700405234,9979,1700408065,27
8801700405235,2975,1700408066,21
8801700405236,8053,1700408067,20
8801700405237,4686,1700408068,25
8801700405238,4790,1700408069,27
8801700405239,4486,1700408070,27
8801700405240,2346,1700408071,25
8801700405241,9975,1700408072,21
8801700405242,5088,1700408073,22
8801700405243,7657,1700408074,21
8801700405244,0139,1700408075,25
8801700405245,3000,1700408076,22
8801700405246,9285,1700408077,20
8801700405247,1794,1700408078,27
8801700405249,6158,1700408079,27
8801700405250,7822,1700408080,23
8801700405251,0441,1700408081,26
8801700405252,4902,1700408082,26
8801700405253,3938,1700408083,26
8801700405254,2953,1700408084,26
8801700405255,3556,1700408085,21
8801700405256,8941,1700408086,26
8801700405257,4780,1700408087,21
8801700405258,6503,1700408088,26
8801700405259,2154,1700408089,25
8801700405260,5455,1700408090,27
8801700405262,3481,1700408091,24
8801700405263,2086,1700408092,20
8801700405264,2534,1700408093,22
8801700405265,7480,1700408094,24
8801700405266,3276,1700408095,24
8801700405267,3970,1700408096,27
8801700405268,9462,1700408097,20
8801700405269,2785,1700408098,24
8801700405270,3901,1700408099,22
8801700405271,6786,1700408100,25
8801700405272,0385,1700408101,26
8801700405273,5657,1700408102,24
8801700405274,0993,1700408103,20
8801700405275,2786,1700408104,22
8801700405276,7980,1700408105,22
8801700405277,4808,1700408106,26
8801700405278,1249,1700408107,26
8801700405279,9395,1700408108,20
8801700405280,1277,1700408109,23
8801700405281,6933,1700408110,27
8801700405282,6696,1700408111,24
8801700405284,1554,1700408112,26
8801700405285,8040,1700408113,27
8801700405286,9610,1700408114,23
8801700405287,2435,1700408115,23
8801700405288,9101,1700408116,26
8801700405289,6770,1700408117,26
8801700405290,2076,1700408118,27
8801700405291,2717,1700408119,20
8801700405292,9478,1700408120,22
8801700405294,7047,1700408121,22
8801700405295,7047,1700408122,20
8801700405296,7109,1700408123,20
8801700405297,7120,1700408124,23
8801700405298,7508,1700408125,20
8801700405299,2514,1700408126,27
8801700405301,2214,1700408127,22
8801700405302,5745,1700408128,21
8801700405303,1238,1700408129,23
8801700405304,0971,1700408130,27
8801700405305,0708,1700408131,21
8801700405306,8139,1700408132,23
8801700405307,6518,1700408133,27
8801700405308,4144,1700408134,25
8801700405309,6477,1700408135,26
8801700405310,5723,1700408136,21
